formula,solver,runtime,conflicts
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_16.cnf,wrapper-glucose.sh,0.002441,116
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_18.cnf,wrapper-glucose.sh,0.002031,157
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_14.cnf,wrapper-glucose.sh,0.00123,25
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_15.cnf,wrapper-glucose.sh,0.003544,367
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_10.cnf,wrapper-glucose.sh,0.003909,332
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_43.cnf,wrapper-glucose.sh,0.001918,203
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_12.cnf,wrapper-glucose.sh,0.002489,231
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_11.cnf,wrapper-glucose.sh,0.010055,967
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_8.cnf,wrapper-glucose.sh,0.002784,307
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_8.cnf,wrapper-glucose.sh,0.002967,315
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_13.cnf,wrapper-glucose.sh,0.005206,650
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_0.cnf,wrapper-glucose.sh,0.006715,570
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_48.cnf,wrapper-glucose.sh,0.006597,656
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_11.cnf,wrapper-glucose.sh,0.001093,246
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_0.cnf,wrapper-glucose.sh,0.006534,767
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_38.cnf,wrapper-glucose.sh,0.007327,682
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_34.cnf,wrapper-glucose.sh,0.003181,470
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_27.cnf,wrapper-glucose.sh,0.001156,176
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_4.cnf,wrapper-glucose.sh,0.003046,354
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_40.cnf,wrapper-glucose.sh,0.00345,372
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_35.cnf,wrapper-glucose.sh,0.004035,425
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_9.cnf,wrapper-glucose.sh,0.002414,97
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_21.cnf,wrapper-glucose.sh,0.003996,458
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_31.cnf,wrapper-glucose.sh,0.005819,467
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_6.cnf,wrapper-glucose.sh,0.000767,91
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_0.cnf,wrapper-glucose.sh,0.003054,511
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_17.cnf,wrapper-glucose.sh,0.002606,294
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_20.cnf,wrapper-glucose.sh,0.004189,354
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_45.cnf,wrapper-glucose.sh,0.001559,117
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_15.cnf,wrapper-glucose.sh,0.003523,278
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_17.cnf,wrapper-glucose.sh,0.002397,334
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_26.cnf,wrapper-glucose.sh,0.003684,334
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_19.cnf,wrapper-glucose.sh,0.003597,322
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_5.cnf,wrapper-glucose.sh,0.002637,164
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_46.cnf,wrapper-glucose.sh,0.004365,430
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_17.cnf,wrapper-glucose.sh,0.003697,418
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_12.cnf,wrapper-glucose.sh,0.006849,803
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_30.cnf,wrapper-glucose.sh,0.003969,311
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_28.cnf,wrapper-glucose.sh,0.003655,317
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_10.cnf,wrapper-glucose.sh,0.002841,136
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_7.cnf,wrapper-glucose.sh,0.004969,255
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_23.cnf,wrapper-glucose.sh,0.003604,348
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_2.cnf,wrapper-glucose.sh,0.002976,165
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_7.cnf,wrapper-glucose.sh,0.003031,69
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_24.cnf,wrapper-glucose.sh,0.002847,237
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_19.cnf,wrapper-glucose.sh,0.001027,20
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_14.cnf,wrapper-glucose.sh,0.002056,104
