formula,solver,runtime,conflicts,entropy,num sols
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_13.cnf,wrapper-glucose.sh,0.002089,68,0.196,29880
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_7.cnf,wrapper-glucose.sh,0.003484,397,0.246,14208
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_13.cnf,wrapper-glucose.sh,0.005344,629,0.109,7296
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_11.cnf,wrapper-glucose.sh,0.002756,332,0.172,1610
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_3.cnf,wrapper-glucose.sh,0.004531,498,0.104,3648
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_18.cnf,wrapper-glucose.sh,0.003367,400,0.062,360
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_6.cnf,wrapper-glucose.sh,0.004032,511,0.075,288
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_20.cnf,wrapper-glucose.sh,0.005358,481,0.072,702
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_16.cnf,wrapper-glucose.sh,0.002441,116,0.142,3980
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_18.cnf,wrapper-glucose.sh,0.002031,157,0.164,234504
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_14.cnf,wrapper-glucose.sh,0.00123,25,0.266,23488
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_15.cnf,wrapper-glucose.sh,0.003544,367,0.126,37536
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_10.cnf,wrapper-glucose.sh,0.003909,332,0.066,192
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_43.cnf,wrapper-glucose.sh,0.001918,203,0.074,416
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_12.cnf,wrapper-glucose.sh,0.002489,231,0.324,288
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_11.cnf,wrapper-glucose.sh,0.010055,967,0.12,16194
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_8.cnf,wrapper-glucose.sh,0.002784,307,0.102,2872
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_8.cnf,wrapper-glucose.sh,0.002967,315,0.072,336
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_13.cnf,wrapper-glucose.sh,0.005206,650,0.065,264
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_0.cnf,wrapper-glucose.sh,0.006715,570,0.092,3364
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_48.cnf,wrapper-glucose.sh,0.006597,656,0.058,220
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_11.cnf,wrapper-glucose.sh,0.001093,246,0.262,1960
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_0.cnf,wrapper-glucose.sh,0.006534,767,0.15,15168
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_38.cnf,wrapper-glucose.sh,0.007327,682,0.06,112
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_34.cnf,wrapper-glucose.sh,0.003181,470,0.07,432
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_27.cnf,wrapper-glucose.sh,0.001156,176,0.072,416
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_4.cnf,wrapper-glucose.sh,0.003046,354,0.178,1224
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_40.cnf,wrapper-glucose.sh,0.00345,372,0.06,200
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_35.cnf,wrapper-glucose.sh,0.004035,425,0.082,448
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_9.cnf,wrapper-glucose.sh,0.002414,97,0.276,146300
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_21.cnf,wrapper-glucose.sh,0.003996,458,0.08,576
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_31.cnf,wrapper-glucose.sh,0.005819,467,0.072,352
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_6.cnf,wrapper-glucose.sh,0.000767,91,0.184,46708
